TimeStep,ActiveAgents,JailedAgents,QuietAgents,TotalCops
0,1,26,1093,64
1,0,26,1094,64
2,0,24,1096,64
3,0,23,1097,64
4,11,39,1070,64
5,105,84,931,64
6,322,141,657,64
7,288,198,634,64
8,231,256,633,64
9,173,308,639,64
10,121,354,645,64
11,61,396,663,64
12,12,413,695,64
13,0,392,728,64
14,0,382,738,64
15,0,371,749,64
16,0,349,771,64
17,0,335,785,64
18,1,322,797,64
19,0,313,807,64
20,0,299,821,64
21,0,283,837,64
22,0,271,849,64
23,1,250,869,64
24,5,237,878,64
25,0,214,906,64
26,0,201,919,64
27,0,191,929,64
28,0,176,944,64
29,0,159,961,64
30,0,144,976,64
31,0,124,996,64
32,0,108,1012,64
33,0,85,1035,64
34,5,85,1030,64
35,44,108,968,64
36,225,152,743,64
37,277,191,652,64
38,238,238,644,64
39,191,293,636,64
40,136,340,644,64
41,80,382,658,64
42,30,408,682,64
43,3,407,710,64
44,1,389,730,64
45,0,372,748,64
46,0,354,766,64
47,0,340,780,64
48,0,321,799,64
49,0,309,811,64
50,0,290,830,64
51,0,269,851,64
52,1,260,859,64
53,10,255,855,64
54,1,235,884,64
55,0,223,897,64
56,0,205,915,64
57,0,186,934,64
58,9,177,934,64
59,5,177,938,64
60,9,187,924,64
61,0,165,955,64
62,0,144,976,64
63,0,135,985,64
64,0,122,998,64
65,0,108,1012,64
66,0,96,1024,64
67,8,94,1018,64
68,0,86,1034,64
69,0,78,1042,64
70,0,72,1048,64
71,2,68,1050,64
72,0,66,1054,64
73,0,63,1057,64
74,2,65,1053,64
75,0,62,1058,64
76,0,59,1061,64
77,16,70,1034,64
78,122,116,882,64
79,277,172,671,64
80,257,222,641,64
81,207,273,640,64
82,154,321,645,64
83,101,361,658,64
84,42,395,683,64
85,2,394,724,64
86,0,379,741,64
87,0,362,758,64
88,0,345,775,64
89,0,334,786,64
90,1,318,801,64
91,0,301,819,64
92,0,290,830,64
93,0,278,842,64
94,0,259,861,64
95,1,246,873,64
96,0,234,886,64
97,0,220,900,64
98,0,201,919,64
99,0,184,936,64
100,0,174,946,64
101,0,161,959,64
102,0,145,975,64
103,0,126,994,64
104,11,122,987,64
105,18,139,963,64
106,5,130,985,64
107,64,150,906,64
108,199,191,730,64
109,238,236,646,64
110,193,278,649,64
111,150,323,647,64
112,104,364,652,64
113,53,404,663,64
114,9,410,701,64
115,2,391,727,64
116,0,372,748,64
117,0,355,765,64
118,0,347,773,64
119,0,327,793,64
120,7,311,802,64
121,6,314,800,64
122,0,292,828,64
123,0,279,841,64
124,30,288,802,64
125,35,312,773,64
126,26,321,773,64
127,25,314,781,64
128,17,306,797,64
129,16,316,788,64
130,12,318,790,64
131,20,311,789,64
132,8,308,804,64
133,11,300,809,64
134,5,288,827,64
135,0,265,855,64
136,0,239,881,64
137,0,219,901,64
138,0,204,916,64
139,0,189,931,64
140,0,174,946,64
141,0,159,961,64
142,1,146,973,64
143,20,159,941,64
144,54,193,873,64
145,104,232,784,64
146,165,267,688,64
147,146,315,659,64
148,105,355,660,64
149,61,403,656,64
150,10,421,689,64
151,0,399,721,64
152,0,382,738,64
153,0,358,762,64
154,0,342,778,64
155,0,325,795,64
156,2,305,813,64
157,9,294,817,64
158,3,287,830,64
159,1,270,849,64
160,0,257,863,64
161,0,241,879,64
162,0,226,894,64
163,1,217,902,64
164,0,203,917,64
165,0,189,931,64
166,0,166,954,64
167,0,155,965,64
168,0,137,983,64
169,2,132,986,64
170,0,118,1002,64
171,0,102,1018,64
172,15,94,1011,64
173,71,119,930,64
174,289,156,675,64
175,273,199,648,64
176,230,244,646,64
177,185,290,645,64
178,137,342,641,64
179,78,379,663,64
180,18,411,691,64
181,1,404,715,64
182,1,387,732,64
183,3,379,738,64
184,0,357,763,64
185,0,342,778,64
186,0,322,798,64
187,1,303,816,64
188,0,285,835,64
189,0,271,849,64
190,0,258,862,64
191,0,239,881,64
192,0,225,895,64
193,0,214,906,64
194,0,190,930,64
195,0,176,944,64
196,0,165,955,64
197,0,145,975,64
198,3,141,976,64
199,0,129,991,64

Statistics
Category,Max,Min,Average
Active,322,0,35.21
Jailed,421,23,241.70
Quiet,1097,633,843.10
